2021-07-21-01,1,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,33625988,2021.06.26,발라드,1720,116675
2021-07-21-01,2,Next Level,aespa,Next Level,33487342,2021.05.17,댄스,5861,169516
2021-07-21-01,3,신호등,이무진,신호등,33480898,2021.05.14,록/메탈,891,123081
2021-07-21-01,4,Permission to Dance,방탄소년단,Butter / Permission to Dance,33666269,2021.07.09,댄스,3882,127868
2021-07-21-01,5,Butter,방탄소년단,Butter,33507137,2021.05.21,댄스,8226,226453
2021-07-21-01,6,Weekend,태연 (TAEYEON),Weekend,33655994,2021.07.06,댄스,1257,77507
2021-07-21-01,7,헤픈 우연,헤이즈 (Heize),HAPPEN,33503722,2021.05.20,R&B/Soul,762,129494
2021-07-21-01,8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,33589260,2021.06.17,댄스,2171,83472
2021-07-21-01,9,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,33464805,2021.05.10,댄스,2913,129750
2021-07-21-01,10,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,33625989,2021.06.26,발라드,775,63116
2021-07-21-01,11,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice,33359317,2021.03.19,POP,946,180673
2021-07-21-01,12,롤린 (Rollin'),브레이브걸스,Rollin',30287019,2017.03.07,댄스,7699,283110
2021-07-21-01,13,Alcohol-Free,TWICE (트와이스),Taste of Love,33559180,2021.06.09,댄스,2183,63160
2021-07-21-01,14,Dynamite,방탄소년단,Dynamite (DayTime Version),32872978,2020.08.24,댄스,20982,417920
2021-07-21-01,15,라일락,아이유,IU 5th Album 'LILAC',33372781,2021.03.25,댄스,2159,205989
2021-07-21-01,16,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,33589488,2021.06.18,록/메탈_ 국내드라마,372,58755
2021-07-21-01,17,ASAP,STAYC(스테이씨),STAYDOM,33397561,2021.04.08,댄스,3323,112446
2021-07-21-01,18,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,33691794,2021.07.16,발라드_ 국내드라마,134,24153
2021-07-21-01,19,하루만 더,빅마마,하루만 더,33618271,2021.06.24,발라드,305,31387
2021-07-21-01,20,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,33527705,2021.05.31,록/메탈,1204,90477
2021-07-21-01,21,Celebrity,아이유,IU 5th Album 'LILAC',33239419,2021.03.25,댄스,3989,292869
2021-07-21-01,22,운전만해 (We Ride),브레이브걸스,We Ride,32860397,2020.08.14,댄스,2762,124750
2021-07-21-01,23,상상더하기,MSG워너비 TOP 8 (별루지 김정수 강창모 정기석 이동휘 이상이 박재정 원슈타인),MSG워너비 TOP 8 경연곡,33510307,2021.05.22,댄스,534,56971
2021-07-21-01,24,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,사이렌 Remix,33359725,2021.03.20,랩/힙합,566,96923
2021-07-21-01,25,상상더하기,라붐 (LABOUM),Fresh Adventure,8130796,2016.04.06,댄스,2664,115369
2021-07-21-01,26,Timeless,SG 워너비,Sg Wanna Be+,1944399,2004.01.20,발라드,586,97402
2021-07-21-01,27,멜로디,ASH ISLAND,멜로디,33315511,2021.02.25,랩/힙합,614,96811
2021-07-21-01,28,내 손을 잡아,아이유,최고의 사랑 OST Part.4,3414749,2011.05.25,발라드_ 국내드라마,1061,160784
2021-07-21-01,29,고백,장범준,첫 번째 '고백',33699116,2021.07.19,록/메탈,51,7492
2021-07-21-01,30,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,33167063,2020.12.29,R&B/Soul,410,85917
2021-07-21-01,31,넌 좋은 사람,SG 워너비,넌 좋은 사람,33692354,2021.07.16,발라드,317,18458
2021-07-21-01,32,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],32962258,2020.10.02,POP,2308,179979
2021-07-21-01,33,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,32698101,2020.06.20,랩/힙합,369,59295
2021-07-21-01,34,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),33061995,2020.11.14,발라드,3673,157483
2021-07-21-01,35,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,31737197,2019.04.12,댄스,9189,426068
2021-07-21-01,36,라라라,SG 워너비,My Friend,1854856,2008.04.24,발라드,277,81301
2021-07-21-01,37,난 너를 사랑해,MSG워너비,난 너를 사랑해,33668958,2021.07.10,발라드,171,15158
2021-07-21-01,38,Lovesick Girls,BLACKPINK,THE ALBUM,32961718,2020.10.02,댄스,3632,194872
2021-07-21-01,39,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,33632153,2021.06.29,랩/힙합,269,37974
2021-07-21-01,40,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),33331004,2021.03.05,댄스,816,96504
2021-07-21-01,41,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,32559782,2020.04.27,댄스,3466,187143
2021-07-21-01,42,잠이 오질 않네요,장범준,잠이 오질 않네요,33013877,2020.10.24,발라드,876,143161
2021-07-21-01,43,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,33248758,2021.01.31,발라드,307,50775
2021-07-21-01,44,마.피.아. In the morning,ITZY (있지),GUESS WHO,33447280,2021.04.30,랩/힙합,2892,56783
2021-07-21-01,45,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,32578498,2020.05.06,록/메탈,10807,363018
2021-07-21-01,46,Blueming,아이유,Love poem,32183386,2019.11.18,록/메탈,2748,312604
2021-07-21-01,47,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),32794652,2020.07.20,발라드,2050,195763
2021-07-21-01,48,Life Goes On,방탄소년단,BE,33077234,2020.11.20,랩/힙합,5882,221684
2021-07-21-01,49,아로하,조정석,슬기로운 의사생활 OST Part 3,32491274,2020.03.27,발라드_ 국내드라마,1444,222248
2021-07-21-01,50,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),33496587,2021.05.19,발라드,59,28134
2021-07-21-01,51,봄날,방탄소년단,YOU NEVER WALK ALONE,30244931,2017.02.13,랩/힙합,12780,544531
2021-07-21-01,52,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악동뮤지션),항해,32061975,2019.09.25,발라드,2403,354286
2021-07-21-01,53,Off My Face,Justin Bieber,Justice,33359309,2021.03.19,POP,197,58057
2021-07-21-01,54,내사람,SG 워너비,The Precious History,1500196,2006.11.15,R&B/Soul,260,67278
2021-07-21-01,55,Coin,아이유,IU 5th Album 'LILAC',33372783,2021.03.25,R&B/Soul,1161,97824
2021-07-21-01,56,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',33372788,2021.03.25,댄스,915,88095
