2021-07-21-16,44,마.피.아. In the morning,ITZY (있지),GUESS WHO,33447280,2021.04.30,랩/힙합,2892,56824
2021-07-21-16,45,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,32578498,2020.05.06,록/메탈,10807,363038
2021-07-21-16,46,Blueming,아이유,Love poem,32183386,2019.11.18,록/메탈,2748,312641
2021-07-21-16,47,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),32794652,2020.07.20,발라드,2050,195811
2021-07-21-16,48,Life Goes On,방탄소년단,BE,33077234,2020.11.20,랩/힙합,5884,221748
2021-07-21-16,49,아로하,조정석,슬기로운 의사생활 OST Part 3,32491274,2020.03.27,발라드_ 국내드라마,1444,222299
2021-07-21-16,50,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),33496587,2021.05.19,발라드,59,28247
2021-07-21-16,51,봄날,방탄소년단,YOU NEVER WALK ALONE,30244931,2017.02.13,랩/힙합,12782,544576
2021-07-21-16,52,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악동뮤지션),항해,32061975,2019.09.25,발라드,2404,354338
2021-07-21-16,53,내사람,SG 워너비,The Precious History,1500196,2006.11.15,R&B/Soul,260,67342
2021-07-21-16,54,Off My Face,Justin Bieber,Justice,33359309,2021.03.19,POP,197,58184
2021-07-21-16,55,Coin,아이유,IU 5th Album 'LILAC',33372783,2021.03.25,R&B/Soul,1161,97883
2021-07-21-16,56,2002,Anne-Marie,Speak Your Mind (Deluxe),31029291,2018.08.03,POP,973,364506
2021-07-21-16,57,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',33372788,2021.03.25,댄스,915,88171
2021-07-21-16,58,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1,33077590,2020.11.21,랩/힙합,4857,187243
2021-07-21-16,59,On The Ground,로제 (ROSÉ),R,33346446,2021.03.12,록/메탈,1617,133453
2021-07-21-16,60,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,33107649,2020.12.03,발라드,137,57054
2021-07-21-16,61,METEOR,창모 (CHANGMO),Boyhood,32224272,2019.11.29,랩/힙합,5058,266091
2021-07-21-16,62,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,33618864,2021.06.25,발라드_ 국내드라마,156,24580
2021-07-21-16,63,12:45 (Stripped),Etham,12:45 (Stripped),31509376,2018.10.26,POP,247,143139
2021-07-21-16,64,지금 말해볼게요 (낮에 뜨는 달 X 거미),거미,지금 말해볼게요 (낮에 뜨는 달 X 거미),33703828,2021.07.20,발라드,54,3529
2021-07-21-16,65,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,32003395,2019.08.23,록/메탈_ 국내드라마,1486,290160
2021-07-21-16,66,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),33011180,2020.10.23,발라드_ 인디음악,260,107190
2021-07-21-16,67,다시 사랑할 수 있을까,백지영,다시 사랑할 수 있을까,33655615,2021.07.07,발라드,60,11460
2021-07-21-16,68,모든 날 모든 순간 (Every day Every Moment),폴킴,'키스 먼저 할까요?' OST Part.3,30962526,2018.03.20,발라드_ 국내드라마,1029,371609
2021-07-21-16,69,러브(Prod.로코베리),로꼬,Love(Prod.Rocoberry),33645879,2021.07.04,랩/힙합,96,21396
2021-07-21-16,70,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내,32438894,2020.03.05,랩/힙합_ 인디음악,2212,162922
2021-07-21-16,71,허리춤,오반 (OVAN),허리춤,33601086,2021.06.21,랩/힙합_ 인디음악,90,20925
2021-07-21-16,72,오래된 노래,스탠딩 에그,오래된 노래,3894276,2012.09.04,인디음악_ 포크/블루스,612,230766
2021-07-21-16,73,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,32224166,2019.11.30,발라드_ 인디음악,219,81897
2021-07-21-16,74,Memories,Maroon 5,JORDI (Deluxe),32055419,2019.09.20,POP,284,171260
2021-07-21-16,75,Bad Habits,Ed Sheeran,Bad Habits,33623210,2021.06.25,POP,156,24427
2021-07-21-16,76,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,32559781,2020.04.27,댄스,11005,180659
2021-07-21-16,77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,31853557,2019.06.09,R&B/Soul_ 인디음악,1059,241067
2021-07-21-16,78,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3,33638428,2021.07.02,록/메탈_ 국내드라마,86,13288
2021-07-21-16,79,체념,MSG워너비(정상동기),MSG워너비 TOP 8 경연곡,33510308,2021.05.22,발라드,204,22010
2021-07-21-16,80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,32508053,2020.04.03,성인가요,4836,132203
2021-07-21-16,81,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,32156286,2019.11.07,발라드,1543,183543
2021-07-21-16,82,그냥 안아달란 말야,다비치,그냥 안아달란 말야,33405149,2021.04.12,발라드,182,39449
2021-07-21-16,83,사실 나는 (Feat.전건호),경서예지,사실 나는,32525311,2020.04.12,발라드,248,77757
2021-07-21-16,84,How You Like That,BLACKPINK,How You Like That,32720013,2020.06.26,댄스,4189,181251
2021-07-21-16,85,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),33229299,2021.01.24,발라드,183,71070
2021-07-21-16,86,Way Back Home (2021),런치,Way Back Home (2021),33643253,2021.07.04,일렉트로니카,91,13659
2021-07-21-16,87,추적이는 여름 비가 되어,장범준,장범준 싱글,33571535,2021.06.11,발라드,189,23843
2021-07-21-16,88,Dance Monkey,Tones And I,The Kids Are Coming,31979846,2019.08.09,POP,427,160400
2021-07-21-16,89,한여름밤의 꿀 : 다시 여름,San E,한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3),33646995,2021.07.05,랩/힙합,120,14450
2021-07-21-16,90,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,32998018,2020.10.19,발라드,768,106188
2021-07-21-16,91,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),33347390,2021.03.14,발라드_ 인디음악,96,48915
2021-07-21-16,92,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),33439096,2021.04.27,발라드,107,28553
2021-07-21-16,93,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),31341518,2018.10.08,POP,674,257610
2021-07-21-16,94,살다가,SG 워너비,살다가,711626,2005.03.23,발라드,167,69192
2021-07-21-16,95,마음을 드려요,아이유,사랑의 불시착 OST Part 11,32378104,2020.02.15,발라드_ 국내드라마,1829,211547
2021-07-21-16,96,Don't Start Now,Dua Lipa,Future Nostalgia,32137576,2019.11.01,POP,361,142510
2021-07-21-16,97,너를 만나,폴킴,너를 만나,31388145,2018.10.29,발라드,972,291138
2021-07-21-16,98,Love poem,아이유,Love poem,32143487,2019.11.01,록/메탈,3040,306797
2021-07-21-16,99,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가,33572275,2021.06.13,발라드,46,17025
2021-07-21-16,100,잡아줄게 (Carabiner),ASH ISLAND,잡아줄게 (Carabiner),33666177,2021.07.09,랩/힙합,180,19475
